[2025-07-12 16:01:23,899] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:01:25,544] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:02:12,561] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:12,562] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:15,634] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:15,634] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:15,864] INFO django.server "POST /api/users/login/ HTTP/1.1" 200 853
[2025-07-12 16:02:16,004] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:02:16,006] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:02:16,006] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:02:16,007] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:02:38,800] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:02:38,802] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:02:38,817] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:38,870] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:02:38,872] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:02:38,873] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:02:38,873] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:02:38,874] WARNING django.server "GET /api/subjects/subjects/ HTTP/1.1" 401 172
[2025-07-12 16:02:38,874] WARNING django.server "GET /api/subjects/subjects/ HTTP/1.1" 401 172
[2025-07-12 16:02:38,881] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:38,900] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:38,901] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:39,041] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:02:39,046] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:02:41,549] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:41,549] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:44,714] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:44,714] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:44,938] INFO django.server "POST /api/users/login/ HTTP/1.1" 200 853
[2025-07-12 16:02:45,091] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:02:45,093] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:02:45,093] INFO django.server "GET /api/practices/practices/ HTTP/1.1" 200 62480
[2025-07-12 16:02:45,093] INFO django.server "GET /api/subjects/subjects/ HTTP/1.1" 200 199
[2025-07-12 16:02:53,121] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:02:53,125] WARNING django.request Unauthorized: /api/practices/practices/
[2025-07-12 16:02:53,127] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:02:53,128] WARNING django.server "GET /api/practices/practices/ HTTP/1.1" 401 58
[2025-07-12 16:02:53,131] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:02:53,132] WARNING django.request Unauthorized: /api/subjects/subjects/
[2025-07-12 16:02:53,136] WARNING django.server "GET /api/subjects/subjects/ HTTP/1.1" 401 172
[2025-07-12 16:02:53,137] WARNING django.server "GET /api/subjects/subjects/ HTTP/1.1" 401 172
[2025-07-12 16:02:53,142] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:53,145] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:53,200] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
[2025-07-12 16:02:53,200] INFO django.server "POST /api/users/token/refresh/ HTTP/1.1" 200 372
